Monument,Adresse,Longitude,Latitude,Source
Immeuble,1 quai des Moulins,7.741669,48.581143,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085147
Immeuble,6 rue des Moulins,7.741411,48.581122,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085148
Immeuble,27 rue de la Nuée Bleue,7.748374,48.584855,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085149
Immeuble,26 allée de la Robertsau,7.765905,48.588276,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000082
Immeuble,56 allée de la Robertsau,7.76833,48.590341,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085156
Immeuble,9 rue Sainte-Hélène,7.74434,48.582186,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085162
Immeuble,4 quai Saint-Thomas,7.747226,48.578999,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085170
Immeuble,46 avenue des Vosges,7.750724,48.589965,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085179
Immeubles,"2, 4 impasse de la Bière",7.752591,48.582953,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085089
Immeubles,"11 rue Mercière
10 place de la Cathédrale",7.749769,48.581611,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085144
Jardin Botanique Universite,28 rue Goethe,7.768064,48.582939,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085285
Kornspeicher,Place Broglie,7.752365,48.585423,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000028
